영상제목,채널명,링크
"""나가서 죽이겠다"" 보복 발언 한 부산 돌려차기 가해자 근황 (자막뉴스) / SBS",SBS 뉴스,https://www.youtube.com/watch?v=eQlvlP8fHeQ&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'돌려차기 사건' 대법원 판단 받나...""징역 20년 적다"" / YTN",YTN,https://www.youtube.com/watch?v=VWu-qoxljKM&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"부산 돌려차기 피고인 대법원 상고... 검찰은 법리상 불가 (2023-06-19,월/뉴스데스크/부산MBC)",부산MBC뉴스,https://www.youtube.com/watch?v=B0EPS1JqyxY&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"""고소할 테면 해라""…서울 강서구의원 '부산 돌려차기 가해자' 신상 또 공개 [MBN 뉴스센터]",MBN News,https://www.youtube.com/watch?v=5b1-ckf5EwY&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
＂죽여버리겠다고…＂ '부산 서면 돌려차기' 가해자 신상 공개 논란 | 이슈픽 zip,MBN News,https://www.youtube.com/watch?v=hH6tXKyjz0g&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
판사들 마음 바꾼 결정적 증언…2심에서 일어난 반전 (자막뉴스) / SBS,SBS 뉴스,https://www.youtube.com/watch?v=fAEyluA6F58&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[에디터픽] '부산 돌려차기' 가해자, 보복발언에 30일 독방 감금 / YTN",YTN,https://www.youtube.com/watch?v=Aah87fXQFh4&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
'부산 돌려차기 사건' 가해자 징역 20년 선고 / YTN,YTN,https://www.youtube.com/watch?v=Z470hIlfOZo&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"""출소하면 보복""…'부산 돌려차기' 피고인 30일간 독방 / JTBC 상암동 클라스",JTBC News,https://www.youtube.com/watch?v=uiDMEeFcGUE&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
“나만 많은 징역”…돌려차기男 뻔뻔 반성문 | 뉴스TOP 10,채널A 뉴스TOP10,https://www.youtube.com/watch?v=CYN8fR4T88E&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'부산 돌려차기' DNA 나왔다‥""강간 등 살인미수 혐의로 변경"" (2023.05.31/뉴스데스크/MBC)",MBCNEWS,https://www.youtube.com/watch?v=j9D60KdInK0&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
[속보] 부산 돌려차기 사건' 가해자 징역 20년 선고 / YTN,YTN,https://www.youtube.com/watch?v=CuI06im-MwM&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"""왜 나만 많은 징역""…부산 돌려차기 남성 반성문 공개 [가상기자 뉴스픽]",MBN News,https://www.youtube.com/watch?v=yQ6OoFGzjmc&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"부산 돌려차기, 사라진 7분…공판장서 일어난 '반전' / SBS 8뉴스",SBS 뉴스,https://www.youtube.com/watch?v=G4SE_3ZarfE&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"[현장쏙] '부산 돌려차기' 피해자 ""가해자 50살에 출소, 저 죽으란 얘기"" / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=7eACdcwv9CU&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
처음 본 여성 쫓아가 폭행…중상에 기억상실증까지 걸렸는데 / JTBC 사건반장,JTBC News,https://www.youtube.com/watch?v=8V5wn9Kua20&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
